	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	20.59.5	Производство прочих химических продуктов, не включенных в другие группировки	20.59.56.150	Катализаторы, не включенные в другие группировки (в части катализаторов гидроочистки, гидрокрекинга, каталитического крекинга, риформинга, изомеризации)
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	23.19.7	Производство электрических изоляторов из стекла	23.19.25	Изоляторы электрические стеклянные
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	23.43	Производство керамических изоляторов и изолирующей арматуры	23.43	Изоляторы электрические и арматура изолирующая из керамики
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	25.21.2	Производство котлов центрального отопления	25.21.12	Котлы водогрейные центрального отопления для производства горячей воды или пара низкого давления
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	25.21.2	Производство котлов центрального отопления	25.21.13	Части водогрейных котлов центрального отопления
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	25.29	Производство прочих металлических цистерн, резервуаров и емкостей	25.29.11	Резервуары, цистерны, баки и аналогичные емкости (кроме емкостей для сжатых или сжиженных газов) из чугуна, стали или алюминия, вместимостью более 300 л, без механического или теплотехнического оборудования (в части резервуаров для хранения жидких углеводородов и природного газа)
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	25.29	Производство прочих металлических цистерн, резервуаров и емкостей	25.29.12.190	Емкости металлические для сжатых или сжиженных газов прочие, не включенные в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	25.30.1	Производство паровых котлов, кроме котлов центрального отопления	25.30.1	Котлы паровые и их части
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	25.73	Производство инструмента	25.73.20	"Пилы ручные; части рабочие для пил всех типов"
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	25.73	Производство инструмента	25.73.30	Инструмент ручной прочий
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	25.73	Производство инструмента	25.73.40	Инструменты рабочие сменные для станков или для ручного инструмента (с механическим приводом или без него)
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	25.73	Производство инструмента	25.73.60	Инструмент прочий
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	25.73	Производство инструмента	25.73.60.120	Инструменты для бурения скальных пород или грунтов
Департамент станкостроения и инвестиционного машиностроения	Оборудование для возобновляемой энергетики	из 2611.2	Производство элементов электронной аппаратуры	из 26.11.22.120	Элементы фотогальванические (в части фотоэлектрических модулей)
Департамент станкостроения и инвестиционного машиностроения	Системы накопления энергии	27.2	Производство электрических аккумуляторов и аккумуляторных батарей	27.2	Батареи и аккумуляторы
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.10.110	Электродвигатели мощностью не более 37,5 Вт
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.10.120	Электродвигатели постоянного тока прочие
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.21	Электродвигатели переменного и постоянного тока универсальные мощностью более 37,5 Вт
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.22	Электродвигатели переменного тока однофазные
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.23	Электродвигатели переменного тока многофазные мощностью не более 750 Вт
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.24	Электродвигатели переменного тока многофазные мощностью от 750 Вт до 75 кВт
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.11	Производство электродвигателей	27.11.25	Электродвигатели переменного тока, многофазные, выходной мощностью более 75 кВт
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.12	Производство генераторов	27.11.10.130	Генераторы постоянного тока
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.12	Производство генераторов	27.11.26	Генераторы переменного тока (синхронные генераторы)
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.12	Производство генераторов	27.11.31	Установки генераторные с двигателями внутреннего сгорания с воспламенением от сжатия
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность/Оборудование для возобновляемой энергетики	27.11.12	Производство генераторов	27.11.32	"Установки генераторные с двигателями с искровым зажиганием; прочие генераторные установки; электрические вращающиеся преобразователи"
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.11.13	Производство трансформаторов	27.11.4	Трансформаторы электрические
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.12	Производство электрической распределительной и регулирующей аппаратуры	27.12.1	Устройства для коммутации или защиты электрических цепей на напряжение более 1 кВ
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.12	Производство электрической распределительной и регулирующей аппаратуры	27.12.21	Предохранители плавкие на напряжение не более 1 кВ
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.12	Производство электрической распределительной и регулирующей аппаратуры	27.12.22	Выключатели автоматические на напряжение не более 1 кВ
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.12	Производство электрической распределительной и регулирующей аппаратуры	27.12.23	Устройства защиты электрических цепей на напряжение не более 1 кВ, не включенные в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.12	Производство электрической распределительной и регулирующей аппаратуры	27.12.3	Комплекты электрической аппаратуры коммутации или защиты
Департамент станкостроения и инвестиционного машиностроения	Кабельная промышленность	27.32	Производство прочих проводов и кабелей для электронного и электрического оборудования	27.32.1	Провода и кабели электронные и электрические прочие
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.33	Производство электроустановочных изделий	27.33.11	Выключатели на напряжение не более 1 кВ
Департамент станкостроения и инвестиционного машиностроения	Кабельная Электротехническая промышленность/Кабельная промышленность	27.33	Производство электроустановочных изделий	27.33.13	Разъемы, розетки и прочая аппаратура коммутации или защиты электрических цепей, не включенная в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Системы накопления энергии	27.9	Производство прочего электрического оборудования (в части бесперебойных источников питания)	из 26.20.40.110	Оборудование электрическое прочее (в части бесперебойных источников питания)
Департамент станкостроения и инвестиционного машиностроения	Системы накопления энергии	27.9	Производство прочего электрического оборудования (в части твердотельных преобразователей, выпрямителей, топливных элементов, регулируемых и нерегулируемых источников электропитания, бесперебойных источников питания)	27.11.50.120	Преобразователи статические (в части твердотельных преобразователей, выпрямителей, топливных элементов, регулируемых и нерегулируемых источников электропитания, бесперебойных источников питания)
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.90	Производство прочего электрического оборудования (в части электрических изоляторов (кроме стеклянных или фарфоровых))	27.90.12	"Изоляторы электрические; изолирующая арматура для электрических машин и оборудования; трубки для электропроводки"
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	28.11.2	Производство турбин	28.11.2	Турбины
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	28.11.2	Производство турбин	28.11.3	Части турбин
