ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр РЭП по ПП 878
1020100706526;26.51.66.134
1020202364302;32.50.50.190
1020202554558;26.30
1020203220916;26.20.14
1021000522663;27.90.40.150
1021300546541;27.40.25.122
1021300546541;27.40.25.123
1021300886254;27.11.50.110
1021300886254;27.40.39.113
1021301062760;27.31.11.000
1021301062760;27.31.12.120
1021301062760;27.32.13.154
1021301062760;27.32.14.120
1021301062860;26.20.40
1021603619091;26.20.14.000
1021603619091;26.51.70.190
1021801507694;26.30.11.120
1021801507694;26.30.11.150
1022101135726;26.51.45.190
1022101135726;27.11.62.120
1022101135726;27.12.31.000
1022101135726;27.12.40.000
1022101135726;27.90.20.110
1022101269123;26.51.70.190
1022300634157;27.31.11.000
1022301811432;26.51.43.110
1022301811432;26.51.45.190
1022301811432;27.90.40.190
1023101683670;26.60.12.121
1023300711774;27.32.13.152
1023301252732;27.11.50.120
1023900999297;28.99.39.190
1024001184228;26.11.22.200
1024001184228;27.40.33.130
1024001184228;27.40.39.113
1024600941936;27.12.21.000
1024600941936;27.12.22.000
1024600941936;27.12.23.000
1024600965531;27.11.26.000
1025002033121;26.20.40.140
1025002041525;26.11.30
1025002041525;26.20.11
1025002041525;26.20.13.000
1025002041525;26.20.14
1025002041525;26.20.14.000
1025002041525;26.20.15
1025002041525;26.20.15.000
1025002041525;26.20.30
1025002041525;26.20.40
1025005326202;26.60.12.119
1025007069372;32.50.50.000
1025007069471;32.50.50.190
1025201335279;26.20.15.000
1025201335279;26.20.30.000
1025201335279;26.20.40.190
1025203566387;26.30.23
1025203566387;26.30.23.000
1025203566387;26.40.42
1025203720805;26.12.30.000
1025203720805;26.80.14.000
1025203721707;27.11.50.130
1025203721707;27.90.60.000
1025300782407;26.51.82
1025300803604;26.11.22.200
1025403911818;26.30.11
1025403911818;26.30.11.11.120
1025403911818;26.30.11.110
1025403911818;26.30.11.120
1025403911818;26.30.23.00
1025403911818;26.30.23.000
1025500972342;26.30.11.150
1025500980680;26.30.50.114
1025500980680;27.40.25.123
1025801216748;26.51.70.190
1025900518181;26.40.33.190
1026102216623;27.90.13
1026102899602;26.51.20.110
1026103172589;26.60.12.124
1026103172589;26.60.12.129
1026104370731;26.51.63
1026300970123;26.51.70
1026301511774;27.31.11.000
1026301512027;27.32.13.110
1026301512027;27.32.13.111
1026301512027;27.32.13.112
1026301512027;27.32.13.143
1026301512027;27.32.13.145
1026301512027;27.32.13.151
1026301512027;27.32.13.152
1026301512027;27.32.13.159
1026301512027;27.32.14.110
1026301512027;27.32.14.111
1026402207699;29.10.59.390
1026402659018;26.51.6
1026601768401;26.40.31.190
1026601768401;26.40.33.190
1026602310514;27.32.14.190
1026602952771;26.60.12.129
1026602952771;26.60.12.24
1026602952771;32.50.21.121
1026602952772;32.50.21.121
1026604933475;26.30.11.110
1026604933475;(пусто)
1026604959347;26.51.20.120
1026604959347;26.51.44.000
1026604959347;26.51.45.119
1026604959347;26.51.66.131
1026604959347;26.51.70.190
1026604959347;27.12.31.000
1026604968015;27.90.70.000
1026605387786;26.51.52.130
1026701423715;27.40.15.120
1026701427774;26.30.23.000
1026701427774;26.30.50.133
1026701427774;26.51.53.110
1026701427774;26.51.53.120
1026701427774;26.51.53.130
1026701427774;26.51.53.140
1026701427774;26.51.82.190
1026701427774;27.11.50.120
1026701427774;27.12.31.000
1026701427774;27.90.20.120
1026701427774;27.90.33.120
1026701427774;28.25.13.119
1026701427774;28.29.11.110
1026701427774;28.29.81.000
1026901912333;27.40.22.130
1026901912333;27.40.25.123
1026901912333;27.40.33.130
1026901912333;27.40.39.113
1027000884349;26.40.43.120
